發話人,NPC ID,表情,"邏輯/條件/選項
一二三四五六七八九十一二三一二三四五六七八九十","對白
一二三四五六七八九十一二三四五六七八九十一二三",獲得道具/對話後果,備註
黑衣武者,,,,想辦法？小兄弟，你能有甚麼辦法……？,,
,,,△淡入黑幕,,,
黑衣武者,,,,（你將武者放平，取出隨身醫藥之物，就著晦暗燭光，克難地處理起那血紅的幽深壑口。）,,
黑衣武者,,,,（不知過了多久，你聽那武者的喘息逐漸平靜，血水不再如泉水般湧出——）,,
,,,△淡入,,,
黑衣武者,,,,……我、我還活著？,,
主角,,,,當然，有小爺在這兒，十殿閻王也收不了你！,,
黑衣武者,,,,"小兄弟你……究竟是哪派神仙下凡？
否則荒山野嶺，又怎會有如此高人相助於我？",,
,,,「是你運氣好，碰上了我。」,,,
,,,「別捧我，神仙救人是為渡世，我救人是要為吃飯的。」,,,
主角,,,,僥倖罷了，多虧大哥你這傷正巧是我熟稔之處，否則我也沒有法子。,,
黑衣武者,,,,哈哈，小兄弟別謙虛了，有這本是，已與神仙無異，小兄弟，不如之後讓我替你在此立廟建碑——,,
主角,,吐槽,,不、倒也不必做到這種程度……,,
主角,,一般,,縱如神醫扁鶴亦須五穀度日，大哥你別捧我，我治病不給折扣的。,,
黑衣武者,,,,哈哈！小兄弟有趣得緊，你若是神仙，我便在這裡替你立寺蓋廟，供奉香火。,,
黑衣武者,,,,你若非神仙，我便世俗了點，以薄禮相贈，絕不會讓你做白活。,,
黑衣武者,,,選項匯流,小兄弟，還請你收下此物。,獲得獎勵：金錢200、虎符切口　仁心機略(+0.1),
主角,,驚訝,,這是……木牌？上頭還有奇特的紋樣？這是什麼——虎爺？,,
黑衣武者,,,,此為切口，乃我自一名高人手中獲得，而那名高人亦是從另一位高人手中獲得此物……,,
黑衣武者,,,,你且好生收著，終有一日，你也定會將這切口交與某個——,,
主角,,驚訝,,"唉！大哥！大哥！？
……呼，嚇唬我啊，只是睡過去而已。",,
主角,,一般,,"倒是這玩意……總有一日，我也會將這切口給？
真是，好歹也把話說完嘛。",【對話結束】,
"支線任務開啟
開啟母任務：瘋草仁心
開起子任務：醫治武人。
完成母任務：瘋草仁心
完成子任務：你以精湛的醫術將黑衣武者自鬼門關拉回，他充滿感激，將一枚虎符切口交予了你。",,,,,(+15)醫師功勳、獲得技能點x1,
,,,,,,
,,,,,,
,,,"※進入醫術檢定
※檢定失敗。",,,
黑衣武者,,,,你？小兄弟，莫要開玩笑了……,,
,,,△淡入黑幕,,,
旁白,,,,（你將武者放平，取出隨身醫藥之物，就著晦暗燭光，克難地處理起那血紅的幽深壑口。）,,
旁白,,,,（無奈技術不精，幾經周折，仍未能順利止血，反讓裂口逐漸裂開——）,,
主角,,悲傷,,……對不住啊大哥。,,
黑衣武者,,,,"哈哈，小兄弟不必道歉，我也已是受夠了。
能否請你替我帶來這曼陀羅花？有了它，至少我最後能得點安寧，前往極樂。",（跳回選項）,
黑衣武者,,,,你……！,,
,,,△刀光特效,,,
黑衣武者,,,,（未等武者出聲，你便以廟外電閃雷鳴做掩護，抽出對方腰間佩劍，手腕輕轉後一推，直入對方心窩。）,,
黑衣武者,,,,……,,
主角,,喜悅,,喔？這刀也是個好東西啊，相逢也是有緣，這刀就給我練手吧，大哥！,,
黑衣武者,,,,（武者屍身後靠，倚牆略是掙扎，最終溶於夜色，動也不動。）,"獲得獎勵：金錢200、染血黑刀、仁心機略(-0.1)
【對話結束】",
"支線任務開啟
開啟母任務：瘋草仁心
開起子任務：醫治武人。
完成母任務：瘋草仁心
完成子任務：你決定以短痛「醫治」廟中武人的長痛，可嘆，已不知他是否感激你的作為了。",,,,,獲得技能點x1,
,,,,,,
,,,,,,
,,,"第二次對話
武者被治療好",,,
黑衣武者,,,,我本已做好就此枯朽的準備，怎料會遇上小兄弟這般高人……多謝。,,
,,,"第二次對話
武者被殺",,,
旁白,,,,（屍身溶於夜色，唯有電光落入廟堂內的一瞬，才能勉強看見那雙混濁而猙獰，直瞪著自己的雙眼。）,【對話結束】,
,,,"第二次對話
武者存活",,,
黑衣武者,,,,曼陀羅模樣與百合相近，故常有女子小娃不甚遭毒……但如今，毒花卻是我最後的依靠。,,
,,,（其他選項與上方相同，直接跳回上方）,,,
,,,我把你說的曼陀羅花帶來了。,,若持有：曼陀羅花*１,
黑衣武者,,,,此花有毒，常人不願靠近……小兄弟明知如此，仍願為我取來此毒，感激不盡。,失去：曼陀羅花*１,
旁白,,,,（你見武人輕嘆口氣，隨後將毒花揉成幾顆小球，混著花莖汁液服下。）,,
黑衣武者,,,,對了，小兄弟，此物便做回禮，交予你罷。,獲得獎勵：金錢200、虎符切口,
黑衣武者,,,,此乃虎符切口，十數年前，我嘗於某為高人手中得之，好生收著，日後……定有……,,
主角,,悲傷,,……,【對話結束】,
"支線任務完成
完成母任務：瘋草仁心
完成子任務：你將毒花交予武人，送予他安詳的最後一程。",,,,,,
,,,,,,
,,,,,,
,,,"第三次對話
若武者死亡（非被殺）",,,
旁白,,,,（武人倚牆，面露淺笑，再無生息。）,【對話結束】,
,,,"第三次對話
若武人存活＆完成任務",,,
旁白,,,,（武人倚牆，面露淺笑，氣息淺淺。）,【對話結束】,
△賭徒兄妹,,,,,,
,,,若首次對話,,,
賭徒兄長role101,,,,你別任性……等我說好……,,
酒鬼妹妹role102,,,,可是……哥哥～,,
賭徒兄長,,,,"都這種時候了，就別任——嗯？
咳、咳嗯！",,
酒鬼妹妹,,,,嗯？哎呀～小哥哥，何故在我們旁邊鬼鬼祟祟的，嗯……總不是想和姐姐玩吧？,,
主角,,驚訝,,呃……！不、不是的，我——,,
賭徒兄長,,,,"唉！姑娘家還不矜持點？像什麼樣？
抱歉啊這位小哥，咱妹妹性格如此，我和你道個歉。",,
酒鬼妹妹,,,,呵呵，抱歉啊小哥哥，人家就開個小玩笑。嚇到你啦？對不住吶～,【對話結束】,
,,,第二次以後對話（賭徒兄長,,,
賭徒兄長,,,,"對了，小兄弟。
反正咱們哪也去不了，要不陪我玩一把？",【對話結束】,
,,,,唉！你別管玩什麼，你就說玩不玩吧！,,
,,,「玩，都玩。」,,,
,,,「不了，我不感興趣。」,,,
賭徒兄長,,,※若小遊戲勝利,"唉！小……噶兒！小哥～了不起啊～
嘿嘿！能拚贏我的傢伙……噶兒！第一次見！",獲得獎勵：幸運小紅鞋,
賭徒兄長,,,,爽，太爽了！嘿、嘿嘿，噶兒！,,
賭徒兄長,,,※若小遊戲失敗,"哈哈，小兄弟還太嫩哩！
來，爺爺我在這兒等你呢，你要想喝，隨時奉陪！",,
主角,,流汗,,壞了，玩過頭了……嗚嗚，好、好暈，好想吐……,,
,,,,,,
,,,第二次對話（酒鬼妹妹,,,
酒鬼妹妹,,,,"嘿嘿，小哥～你還真是熱情～
就這麼想與我說說話嗎？唉呦，熱切的男人，我心悅地很！",,
主角,,流汗,,不敢當不敢當，只是有事想請教姑娘——,,
,,,,"唉！你離這麼遠做甚麼吶，奴家又不會吃了你！
呵呵，我只是提醒小哥，你也聽到了，我自從下車以後就一值暈呼呼的，不甚痛快——",,
酒鬼妹妹,,,,你若取些「好東西」來給奴家醒醒神……呼呼，奴家倒也能告訴小哥一件「好事兒」。,,
主角,,一般,,"……呃，怎麼好像變成了個跑腿的？
不過，要用「好東西」來醒醒神……？",,
,,,［調情］「姑娘可知，哪種酒最容易使人昏頭？」,,,
,,,［口才］姑娘想要何物，還請明示之。,,,
,,,若我有見到的話。,,,
酒鬼妹妹,,,"※進入調情檢定
※檢定成功。","……「你的天長地久」？
呵呵呵……小哥可真會說話……呵呵呵！",,
主角,,,,姑娘說想要「好東西」，可在下以為，世間沒什麼東西比美人淺笑更加美好了。,,
酒鬼妹妹,,,,呵呵，小哥你還真會說話！好啦好啦，你的嘴巴和抹了蜜一樣，我也得給點兒好處——,,
酒鬼妹妹,,,,你別看這座破廟人煙罕至，那後院，[em2]水井[/em2]底下有個好東西呢！,,
酒鬼妹妹,,,,呵呵，奴家見識淺薄，何況那井是淤泥遍布，奴家可不想弄髒自己的手……如何定奪，便交予小哥你了。,【對話結束】,
酒鬼妹妹,,,"※進入調情檢定
※檢定失敗。",哪種酒？,,
主角,,帥氣,,與你「天長地久」。,,
酒鬼妹妹,,,,……,,
主角,,帥氣,,……,,
酒鬼妹妹,,,,…………,,
主角,,流汗,,…………,,
酒鬼妹妹,,,,小哥，所謂與時俱進，你拿個我爹爹追求我娘時的情話纏綿，我也不知該有什麼反應啊。,,
酒鬼妹妹,,,,罷了罷了，等你找到奴家喜歡的好東西，奴家倒可以陪你說說話。呵呵，奴家會好好等著的。,【對話結束】,
酒鬼妹妹,,,"※進入口才檢定
※檢定成功。",嗯……若是直白的說了，倒也是無趣……,,
酒鬼妹妹,,,,對了，[em2]「三滴甘露酉時釀，香飄十里入愁腸。」[/em2],,
主角,,流汗,,你這也沒好好說啊！,,
酒鬼妹妹,,,,唉呦！讓你好生猜猜呢，這題又不難，小哥，我相信你呢！,,
酒鬼妹妹,,,"※進入口才檢定
※檢定失敗。",呵呵，奴家雖不討厭有話直說的男人，但此處著實無聊的很……小哥就當是陪陪我的興致，努力猜猜？,,
酒鬼妹妹,,,,等你找到奴家喜歡的好東西，奴家倒可以陪你說說話。呵呵，奴家會好好等著的。,,
,,,,"真是麻煩的姑娘……不過，「好東西」麼？
或許可以從那姑娘身上獲得一些靈感？",【對話結束】,
酒鬼妹妹,,,,"好好好，那奴家就在這兒等小哥囉？
呵呵～奴家相信，小哥定不會讓奴家失望的。",【對話結束】,
,,,第三次對話（酒鬼妹妹,,,
酒鬼妹妹,,,,你若取些「好東西」來給奴家醒醒神……呼呼，奴家便告訴小哥一件「好事情」吧。,【對話結束】,
,,,「姑娘，你想要的是這個不？」,,條件：若擁有【佛血酒】,
,,,「敢問姑娘是為何故而入京？」,,,
,,,離開。,,【對話結束】,
酒鬼妹妹,,,,哎呀！不愧是小哥，和外頭那些大老粗就是不一樣。真上道呀！,,
酒鬼妹妹,,,,"嗯？這酒……怎麼紅通通的？哼～還真是古怪。
小哥，你不是拿了什麼奇怪的東西給奴家吧？",失去：佛血酒,
主角,,流汗,,呃，這個……,,
酒鬼妹妹,,,,哼～算了！有酒不嫌棄，何況是小哥你帶來的，來來來，乾了！,,
,,,△進入黑幕,,,
酒鬼妹妹,,,,"……！
……噶、噶呵呵！",,
,,,△淡出黑幕,,,
酒鬼妹妹,,,,"好酒！好酒！
哎呀！奴……老娘好久沒喝著這麼美味的玩意兒了！",,
酒鬼妹妹,,,,香醇中帶了點血腥，血腥中又帶了些回甘，入喉渾厚，後韻卻猶若火燒……燒盡後又是一抹芳香……,,
酒鬼妹妹,,,,哎呀～小哥你對人家真好！叫人家心兒砰砰跳呢！,,
,,,,"怎麼性情大變成這樣——姑、姑娘別動手動腳的！
我、我還有個妹妹，會教壞小孩啊！",,
,,,,嘿嘿，行吧行吧！,,
酒鬼妹妹,,,,這座廟有個後院，後院[em2]水井[/em2]底下有個好東西呢。,,
酒鬼妹妹,,,,呵呵，不管那是甚麼，被藏得如此隱密，定有蹊蹺……呼呼，不知擅自取了，會發生什麼事呢。,【對話結束】,
酒鬼妹妹,,,,奴家？哼～咱們這些給趟子拉來的人，哪個不是在故鄉栽跟頭，才想換個地兒重新開始？,,
酒鬼妹妹,,,,……呵呵，若之後到了京城，咱們找個客棧，喝小酒、吃燒鵝，好生快活時，我再與你說說罷。,【對話結束】,
△貧戶母女,,,,,,
,,,若首次對話,,,
樸素女子,,,,不、不對，這路怎麼看都不像往京城去……,,
樸素女子,,,,"……嗯？你、你是什麼人？有、有事找我？
若沒什麼大事，還請不要與我搭話。",【對話結束】,
,,,第二次以後對話,,,
樸素女子,,,,……好、好冷，為什麼這地兒有風吹來？,,
選項一,,,「夫人既然在此，想來也是準備入京了？」,,,
選項二,,,「小弟搭話也沒惡意，夫人何必如此一驚一乍？」,,,
選項三,,,「夫人如此後怕，莫非是擔心遭天譴了？」,,,
選項四,,,離開。,,,
樸素女子,,,,……是又怎樣？都被迫在這馬上顛頗數日，哪還有傻子是誤打誤撞上車？,,
樸素女子,,,,哼，我這種帶著孩子的老女人，哪像你這樣的年輕人一樣……繼續待在北方，總有天會被蠻子的鐵騎給踏成肉泥……！,,
樸素女子,,,,呵，那口子畜生！婆婆渾蛋，說到底，就連可憐我的「京城公子哥兒」也不是甚麼善荏！,,
樸素女子,,,,那群小子只叫我是個瘋婆娘，嘿，嘿嘿……但我告訴你，長點心眼子，這種好事落在咱們身上，背後指定有蹊蹺……！,,
樸素女子,,,,哼！人心隔肚皮，誰人可鑑？除非你把心剖了給我瞧瞧，否則你們誰也信不得……！,,
樸素女子,,,,…………,,
樸素女子,,,,呵、呵呵……,給：［揭露殺人旗標］,
,,,第二次以後對話＋揭露殺人,,,
樸素女子,,,,……呵、呵呵……！,,
,,,,,,
,,,若首次對話,,,
年幼小娃,,,,"你、你是也在那馬車上的大哥哥？
嗚！不好，娘、娘親要我不能隨便與人說話的！",,
,,,「你娘親？為何不能與他人說話？」,,,
,,,「你是為何入京？」,,,
,,,離開。,,,
年幼小娃,,,,我、我也不知……只、只是我娘從上這馬車之後，心情就不太好……,,
年幼小娃,,,,"大、大哥哥對不起，我不能陪你聊天了。
唔……若被娘親看到，娘親會生氣的。",【對話結束】,
年幼小娃,,,,咦？這、娘親說不能隨意告訴別人……,,
年幼小娃,,,"※進入魅力檢定
※檢定成功",……但我瞧大哥哥不像壞人……我偷偷告訴你的話，你不可以和別人說喔。,"自動檢定：
難度：５",
年幼小娃,,,,其實我之前啊，看到我娘用力推了我爹爹……爹爹流了好多好多血……,,
年幼小娃,,,,爹、爹爹不動了好幾天……等到我某天醒來時，就聽到娘親和一個沒見過的叔叔說話。,,
年幼小娃,,,,……那叔叔就說要我們幾天後上車，要送我們去京城工作。,,
年幼小娃,,,,我、我不知道爹爹怎麼了，媽媽也不讓我問爹爹的事……大哥哥，你也是因為被爹爹打才入京的嗎？,（跳回選項）,
年幼小娃,,,"※進入魅力檢定
※檢定失敗",……不、不能說。,【對話結束】,
,,,,（你本想以自身親和力使男孩鬆口，然而魅力不足，男孩能看著你那彆腳模樣，搖搖頭。）,,
探索＿後院,,,,,,
主線02,,,,,,
△靈犀,,,,,,
靈犀,,,,"……
……啊！表哥表哥！你終於醒啦！",,
靈犀,,無奈,,表哥都睡了大半日了！我還以為是不是身體不舒服呢，害小犀擔心得要命，都不知該怎麼辦了。,,
靈犀,,一般,,嘿嘿，自從離開故鄉之後，這還是我們兄妹第一次出遠門呢！,,
靈犀,,喜悅,,豆花、綠豆糕、甜餅、麻糊……！京城裡的點心一定更大、更甜，還有還有——嗯？,,
靈犀,,害羞,,……表哥，你怎麼啦？怎麼突然盯著小犀不說話……別、別看啦！小犀身上都要被瞧出洞來了！,,
選項1,,,「呃……你是……那位？」,,,
選項2,,,「……你說的『表哥』是……我？」,,,
無論選擇哪個　結果相同,,,,,,
靈犀,,驚訝,,……,,
靈犀,,微笑,,……靈犀神拳！,,（主角被揍）
主角,,痛苦,,唉呦！痛痛痛！你這野丫頭，怎麼拳頭這麼厲害！,,
靈犀,,微笑,,嘿嘿，「黑白講話」！怎樣，想起來了？還是要再來給幾拳？,,
主角,,痛苦,,別別別，我不鬧了不鬧了！你是我最可愛的小表妹，咱們自故鄉失火後就相依為命流落到河東……,,
靈犀,,微笑,,這還差不多！下次再開這種無聊的玩笑，小犀就在你臉上——,,
主角,,痛苦,,別別別，靈犀女俠大恩大德，你表哥靠這張臉掙錢的！青一塊紫一塊你就要喝西北風啦。,,
靈犀,,無奈,,"哼哼……好啦，不說這些了。
小犀方才和阿傑叔叔打聽過啦，聽說京城有不少好吃的！還有表哥之前說要帶我去吃的綠豆湯呢！",,
靈犀,,吐槽,,,,
選項2,,,「比起這個，咱們不是坐車嗎？怎麼會在破廟裡？」,,,
選項3,,,「進京？咱們進京做什麼？」,,,
選項4,,,「綠豆湯？你都胖成小綠豆了還吃綠豆湯。」,,【推進劇情】,
選項5,,,「好好好，給我們小靈通一點兒甜頭。」,,【推進劇情】,
▼選項2,,,,,,
靈犀,,吐槽,,"唔，說到這小犀就來氣……！
表哥一上車就開始睡覺，都不知道那車夫多過分！",,
靈犀,,一般,,咱們自從上了馬車後就晝夜不歇的不停趕路，小犀屁股都要被馬車顛開花啦！,,
靈犀,,一般,,結果問了問車夫，說是再撐一下，等到了驛站就能歇息了……結果才剛看到那驛站旗子尖兒呢！,,
靈犀,,無奈,,那車夫叔叔就突然驅馬拐彎，把咱們拉上了旁邊的山路……說是咱們人多，走大路不好！,,
靈犀,,難過,,結果前腳上山，後腳就起了大霧……這下倒好了，咱們上不去山頂，又下不了山，只能卡在這兒……,,
靈犀,,難過,,唔，若不是阿傑叔叔湊巧找到這座廟避雨，小犀就要抓很多很多蟲子，趁車夫叔叔睡著時——,,
主角,,吐槽,,好好好，靈犀大俠息怒！息怒！,跳回選項,
▼選項3,,,,,,
靈犀,,一般,,"……表哥你……不會是摔到腦袋了吧？
怎麼連這事兒都忘了？",,
主角,,吐槽,,「敏而好學，不恥下問，是以謂之文也。」我不懂，所以就問……痛！你又打我！,,
靈犀,,吐槽,,說誰是「下」呢！忘了就忘了嘛，我又不會生氣！,,
靈犀,,一般,,咱們是收到貴人邀請，要去京城新開張的酒樓幫工啊！嘿嘿，飛黃騰達，飛黃騰達！,,
靈犀,,一般,,我們流民本就過著有上頓沒下頓的日子，沒想到竟能遇上[em2]貴人引介[/em2]，讓咱們去京城新開的酒樓上工。,,
主角,,吐槽,,"如今想來，還是不免覺得「還有這種好事」。
娘親曾言：「禍兮福所倚，福兮禍所伏」，也算是咱們兄妹否極泰來罷。",,
靈犀,,一般,,唔，表哥這樣一提，確實有點玄妙。聽聞那恩公不問身分背景，在這破廟中人皆為受其所邀。,,
靈犀,,一般,,嗯……會不會是咱們這種鄉下工人比皇城內還便宜啊？否則怎麼會有這種好事……嗯……,,
▼選項4,,,,,,
靈犀,,一般,,"唔……！小犀是胖綠豆，表哥就是大王八！
王八綠豆，天生一對——",【接狗頭人出現】,
▼選項5,,,,,,
靈犀,,喜悅,,"嘿嘿！我就知道表哥對小犀最好啦！
小犀最近很努力做帳喔，咱們存了不少錢，可以吃很多綠豆湯、綠豆糕，綠豆——",【接狗頭人出現】,
匯流｜狗頭人出現,,,,,,
,,,△草木晃動的ＳＥ　鏡頭切到草叢,,,
旁白,,,,（你們鬥嘴還沒結束，就聽附近傳來一陣窸窣，蟲鳴鳥叫戛然而止，一股毛骨悚然攀附上背——）,,
主角,,一般,,什麼人！？,,
教學：主動擲骰,,,,,,
,,,"※進入洞察檢定
※檢定成功",,難度：５,
,,,△遠程攻擊特效,,,
？？？,,,,嘎啊！！,,
靈犀,,驚訝,,哇啊！表、表哥，那是什麼聲音？,,
主角,,,,男子漢大丈夫，躲躲藏藏做甚麼？出來！,,
旁白,,,,（你順著枝枒斷裂聲響，雙目一凜，朝著那方向甩出腳邊碎石，隨後便聽草叢中傳來一聲哀號……）,,
,,,△狗頭人一家出現,,,
狗頭人家主　role105,,,,嘎、嘎啊！高、高手，識破、隱身！高手！,,
狗頭人小弟　role106,,,,厲害！厲害！,,
主角,,吐槽,,…………,,
靈犀,,不悅,,"……別、別看小犀啦！
小靈通又不是什麼都懂！",,
,,,"※進入洞察檢定
※檢定失敗",,,
？？？,,,,嘎呼！！,,
靈犀,,驚訝,,哇啊！,,
,,,△主角受擊特效,,,
,,,△狗頭人一家出現,,,
狗頭人家主,,,,嘎呼！嘎呼！上鉤了！上鉤了！,,
靈犀,,驚訝,,……,,
狗頭人家主,,,分歧匯流,此山，我開！此廟，我栽！要命！留財！,,
狗頭人小弟,,,,留財！留財！留財！,,
選項1,,,「你們是什麼怪物？」,,,
選項2,,,［學識］嘗試理解這群怪物的語言。,,,
選項3,,,［世家子弟］［智力］回憶自己是否見過這種怪物。,,,
狗頭人家主,,,,"沒禮貌！不是！怪物！沒禮貌！
吾等、山中王！",,
狗頭人小弟,,,,山中王！山中王！,,
狗頭人家主,,,,"藏起來！等待！獵物！
牛車、來！躲起來，等待！落單！",,
狗頭人小弟,,,,落單！落單！上鉤！上鉤！,,
靈犀,,難過,,表哥，小犀是不是吃壞東西了……怎麼聽不懂他們在說甚麼。,,
主角,,,,沒事，你表哥也不懂。,,
狗頭人家主,,,,沒禮貌！忽視吾等！著實無禮！,,
狗頭人家主,,,,扁他！扁他！小的！扁他！,,
,,,"※進入學識檢定
※檢定成功",,難度:10,
旁白,,,,（你緊皺眉頭，只感覺自己的腦子竟在思考之中融為一片米糊，逐漸與眼前這群異獸相容、理解——）,,
狗頭人家主,,,,……吾等乃此山萬獸之長，自天地闢開之初便已長居於此，爾等人多勢眾，擅闖此地，還不趕緊賠罪？,,
狗頭人小弟,,,,不錯，是該賠罪。我們已退隱山中，掩人耳目生活，漢人又何必對我們苦苦相逼！,,
狗頭人家主,,,,我等不願做無謂殺生……吼吼，你若有點兒「誠意」，便趕緊交出來！否則……,,
靈犀,,,,唔哇！這些怪物怎麼了？突然吱吱喳喳的尖叫起來？,,
選項1.a,,,［持有金錢］「拿去，然後滾。」,,,
選項1.b,,,「小犀，他們說給錢就放人。」,,,
選項1.c,,,「嘿！要錢沒有，要命，自己來拿！」,,【進入戰鬥】,
主角,,,,哼，守財奴們，拿去！,損失:金錢xxx,
靈犀,,驚訝,,哇啊！那是……！,,
狗頭人家主,,,,哈！上道！上道！你，好人！是兄弟！,,
狗頭人小弟,,,,好兄弟！讓道！好兄弟！讓道！,,
靈犀,,驚訝,,……退、退走了……,,
主角,,,,嘿，非人之物，倒是守信。,,
靈犀,,難過,,我、小犀的五銖……,,
主角,,吐槽,,總、總覺得背上被尖刀刺著一樣……,,
靈犀,,驚訝,,咦？要錢？,,
主角,,一般,,說是若要他們退下，就須有點「誠意」在，既然是誠意——,,
靈犀,,不悅,,他、們、要、錢？,,
主角,,喜悅,,[var=PlayerLastName]家法：要錢沒有，要命一條！,【進入戰鬥】,
,,,"※進入學識檢定
※檢定失敗",,,
,,,,（你緊皺眉頭，只感覺自己的腦子竟在思考之中融為一片米糊……你放棄了，放棄了思考。）,,
,,,,表哥表哥，別發呆啦！這些怪物打過來了！,【進入戰鬥】,
旁白,,,"※進入學識檢定
※檢定成功",（你總覺所謂「怪物」實在眼熟，細細思量，才終是在記憶的雲海中撥開一道裂口——）,,
旁白,,,,（此怪肥頭大耳，能言人語，能解人意，常居於深山老林之間，甚少出現，顧為傳說——喚「犬首」。）,,
旁白,,,,（犬首習性與狼犬一類相似，群居群獵，專挑夜深人靜時，襲擊落單過客或女子小兒……）,,
,,,,（——倏忽，你想起犬首中有一特性，為其首領馬首是瞻，若能處理掉首領，餘下定也不攻自破。）,,
選項1,,,[em1]［單挑］[/em1]「山中王怎能以大欺小！一對一比試，來？」,,,
選項2,,,「區區怪物何須計謀，盡皆上吧！」,,,
狗頭人小弟,,,,老大！老大！漢人子弟！囂張！跋扈！,,
狗頭人首領,,,,退！由我來對付！漢人子弟！囂張！,,
靈犀,,,,表哥！萬事小心啊！,【進入單挑】,
狗頭人首領,,,,嘎啊——！,【進入戰鬥】,
旁白,,,"※進入學識檢定
※檢定失敗",（無論如何思索，腦中仍是一團迷霧……你實在想不起來此怪為何，只能茫然楞神。）,,
,,,,表哥表哥，別發呆啦！這些怪物打過來了！,,
靈犀,,驚訝,,表、表哥小心！他們攻擊過來了！,,
【進入戰鬥】,,,,,,
若【戰鬥】勝利,,,,,失敗則遊戲結束,
狗頭人家主,,,,嘎、嘎嗚嗚……小的！跑！漢人！厲害！,,
靈犀,,喜悅,,噗哧！還山中王呢，聽牠大話說的，真跑起來還不是一溜煙就沒了人影！,,
靈犀,,難過,,不過那些「怪物」？究竟是怎麼回事啊？模樣長得嚇人不說，竟然還會和我們說話……,,
主角,,不悅,,不愧是靠近都城的地方，連對手都這樣特立獨行，不但長的奇怪，還會說咱們的話……,,
主角,,一般,,罷了，多思無益。反正都要在這兒等「京城來的接應」，不如再晃晃吧。,,
,,,,,【對話結束】,
"任務開啟
開啟母任務：大夢初醒
完成子任務：與破廟中人對話，了解目前情況。
開啟子任務：繼續在廟中探索　或　回到門口，等待雨停。",,,,,,
,,,,,,
,,,,,,
,,,,,,
△水井,,,,,,
,,,若首次調查（若身上還沒有麒麟骰）,,,
主角,,一般,,"裡頭一片漆黑，甚麼也看不見啊……
先與小犀會合後再來看看也不遲。",,
旁白,,,,,【對話結束】,
旁白,,,若首次調查,（霏雨綿綿，你發現這座石井早已乾涸，裡頭滿是汙泥、枯枝與動物屍骨……）,,
主角,,一般,"※進入洞察檢定
※檢定成功","一片漆黑啊……嗯？慢著。
井底汙泥頂端好像有塊凸起……像個包袱？","僅成功跳出劇情，失敗則這段劇情直接結束（無下方選項
難度：",
,,,,嗯，但這水井深度，也不可能就這樣把身子探下去，該怎麼做——,,
主角,,瞇眼,"※進入洞察檢定
※檢定失敗","……不中啊，甚麼也看不見。
罷了，這井都荒廢多少時日了，約莫也不是什麼要緊東西。",,
主角,,一般,※若觸發過『酒鬼的好東西』事件,看來這就是那姑娘說的「後院井底」了，只是她所說的好東西……,,
,,,,這水井深度，也不可能就這樣把身子探下去，該怎麼做——,★,
,,,［尋寶］以枯枝將布包勾出。,,難度：５,
,,,［巧手］以半壞的水桶將布包撈起。,,難度：５,
,,,放棄。,,【對話結束】,
旁白,,,"※進入尋寶檢定
※檢定成功",（你將枯枝當作魚叉，猶如獵魚般將其戳入皮革包袱之中，隨後將其抵在井牆邊，緩慢拉起包袱。）,接下方：若任一檢定成功——,
旁白,,,"※進入尋寶檢定
※檢定失敗",（你奮力一勾，怎料枯枝半途斷開，你因力道過猛向後一撞——）,,
旁白,,,,（等你掙扎爬起，朝井口一探……那包袱已融於夜色之中，再也看不見了。）,【對話結束＋事件結束（失敗）】,
旁白,,,"※進入巧手檢定
※檢定成功",（你在附近找到近乎半毀的水桶，以打水的方式巧妙地將皮質包袱撈起。）,接下方：若任一檢定成功——,
旁白,,,"※進入巧手檢定
※檢定失敗",（你本想用水桶輔助，將包袱打包上來，然而事與願違，你手一滑，楞楞看著水桶於井中報廢。）,【對話結束＋事件結束（失敗）】,
,,,,,,
,,,第二次以後調查,,,
,,,"※若事件成功（即拿到包袱）
※頭頂泡泡",（井底一片漆黑，只剩汙泥沉於其中。）,,
主角,,苦惱,"※若事件失敗
※頭頂泡泡",不行，甚麼也看不見了……放棄吧。,,
旁白,,,※若觸發過『酒鬼的好東西』事件,看來這就是那姑娘說的「後院井底」了，只是她所說的好東西……,,
,,,,這水井深度，也不可能就這樣把身子探下去，該怎麼做——,之後接續上方★部分,
,,,,,,
旁白,,,※若任一檢定成功　接到此,,,
主角,,驚訝,,噁，真髒死了，裡頭最好真給我藏著寶貝——嗯？這甚麼東西？,,
